,Unnamed: 0,English,German_Singular,German_Plural,IPA
0,0,Time,Die Zeit,Die Zeiten,diː t͡saɪ̯t
1,1,Man,Der Mann,Die Männer,dɛːr man
2,2,Hand,Die Hand,Die Hände,diː hant
3,3,Day,Der Tag,Die Tage,dɛːr taːk
4,4,Way,Der Weg,Die Wege,dɛːr vɛːk
5,5,Eye,Das Auge,Die Augen,daːs aʊ̯ɡə
6,6,Thing,Die Sache,Die Sachen,diː zaxə
7,7,Head,Der Kopf,Die Köpfe,dɛːr kɔp͡f
8,8,Year,Das Jahr,Die Jahre,daːs jaː
9,9,Room,Das Zimmer,Die Zimmer,daːs t͡sɪmɐ
10,10,Door,Die Tür,Die Türen,diː tyːɐ̯
11,11,Woman,Die Frau,Die Frauen,diː fraʊ̯
12,12,Face,Das Gesicht,Die Gesichter,daːs ɡɛːzɪçt
13,13,Mother,Die Mutter,Die Mütter,diː mʊtɐ
14,14,People,Die Leute,-,diː lɔɪ̯tə
15,15,Night,Die Nacht,Die Nächte,diː naxt
16,16,House,Das Haus,Die Häuser,daːs haʊ̯s
17,17,Father,Der Vater,Die Väter,dɛːr faːtɐ
18,18,Life,Das Leben,Die Leben,daːs lɛbn̩
19,19,Back,Der Rücken,Die Rücken,dɛːr rykn̩
20,20,Voice,Die Stimme,Die Stimmen,diː stɪmə
21,21,Girl,Das Mädchen,Die Mädchen,daːs mɛdxn̩
22,22,Place,Der Ort,Die Orte,dɛːr oːɐ̯t
23,23,Boy,Der Junge,Die Jungen,dɛːr jʊŋə
24,24,Car,Das Auto,Die Autos,daːs aʊ̯toː
25,25,Side,Die Seite,Die Seiten,diː zaɪ̯tə
26,26,Arm,Der Arm,Die Arme,dɛːr aːɐ̯m
27,27,Child,Das Kind,Die Kinder,daːs kɪnt
28,28,Word,Das Wort,Die Wörter,daːs voːɐ̯t
29,29,Moment,Der Moment,Die Momente,dɛːr moːmɛnt
30,30,Hair,Das Haar,Die Haare,daːs haː
31,31,Foot,Der Fuß,Die Füße,dɛːr fuːs
32,32,Water,Das Wasser,-,daːs vasɐ
33,33,Light,Das Licht,Die Lichter,daːs lɪçt
34,34,World,Die Welt,Die Welten,diː vɛlt
35,35,Name,Der Name,Die Namen,dɛːr naːmə
36,36,Friend,Der Freund,Die Freunde,dɛːr frɔɪ̯nt
37,37,Window,Das Fenster,Die Fenster,daːs fɛnstɐ
38,38,Body,Der Körper,Die Körper,dɛːr køːrpɐ
39,39,Table,Der Tisch,Die Tische,dɛːr tɪʃ
40,40,Morning,Der Morgen,Die Morgen,dɛːr moːrɡən
41,41,Bed,Das Bett,Die Betten,daːs bɛt
42,42,Wall,Die Wand,Die Wände,diː vant
43,43,Street,Die Straße,Die Straßen,diː straːsə
44,44,School,Die Schule,Die Schulen,diː ʃuːlə
45,45,Air,Die Luft,-,diː lʊft
46,46,Floor,Der Boden,Die Böden,dɛːr bodn̩
47,47,Hour,Die Stunde,Die Stunden,diː stʊndə
48,48,End,Das Ende,Die Enden,daːs ɛndə
49,49,Family,Die Familie,Die Familien,diː faːmiːliː
50,50,Guy,Der Kerl,Die Kerle,dɛːr kɛːɐ̯l
51,51,Kind,Das Kind,Die Kinder,daːs kɪnt
52,52,Minute,Die Minute,Die Minuten,diː miːnuːtə
53,53,Story,Die Geschichte,Die Geschichten,diː ɡɛʃɪçtə
54,54,God,Der Gott,Die Götter,dɛːr ɡɔt
55,55,Week,Die Woche,Die Wochen,diː vɔxə
56,56,Work,Die Arbeit,-,diː aːrbaɪ̯t
57,57,Shoulder,Die Schulter,Die Schultern,diː ʃʊltɐ
58,58,Part,Der Teil,Die Teile,dɛːr taɪ̯l
59,59,Mind,Der Verstand,-,dɛːr fɛːrstant
60,60,Book,Das Buch,Die Bücher,daːs bʊx
61,61,Finger,Der Finger,Die Finger,dɛːr fɪŋɐ
62,62,Mouth,Der Mund,Die Münder,dɛːr mʊnt
63,63,Kid,Das Kind,Die Kinder,daːs kɪnt
64,64,Glass,Das Glas,Die Gläser,daːs ɡlaːs
65,65,Tree,Der Baum,Die Bäume,dɛːr baʊ̯m
66,66,Sound,Der Klang,Die Klänge,dɛːr klaŋk
67,67,Line,Die Linie,Die Linien,diː liːniː
68,68,Wife,Die Ehefrau,Die Ehefrauen,diː eːɛːfraʊ̯
69,69,Heart,Das Herz,Die Herzen,daːs hɛːrs
70,70,Money,Das Geld,-,daːs ɡɛlt
71,71,Phone,Das Telefon,Die Telefone,daːs tɛːlɛːfoːn
